Requests, Fitness
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,2
71,3
72,4
73,5
74,6
75,7
76,8
77,9
78,10
79,11
80,12
81,13
82,14
83,14
84,14
85,14
86,14
87,14
88,15
89,16
90,17
91,18
92,19
93,20
94,21
95,22
96,23
97,24
98,25
99,26
100,27
101,28
102,29
103,30
104,31
105,31
106,31
107,31
108,31
109,31
110,31
111,31
112,31
113,31
114,31
115,31
116,31
117,31
118,31
119,31
120,31
121,31
122,31
123,31
124,31
125,31
126,31
127,31
128,31
129,31
130,31
131,31
132,32
133,33
134,34
135,35
136,36
137,37
138,38
139,39
140,40
141,41
142,42
143,43
144,44
145,45
146,46
147,47
148,48
149,49
150,50
151,51
152,52
153,53
154,54
155,55
156,56
157,57
158,58
159,59
160,60
161,61
162,62
163,63
164,64
165,65
166,66
167,67
168,68
169,69
170,70
171,71
172,72
173,73
174,74
175,75
176,76
177,77
178,78
179,79
180,80
181,81
182,82
183,83
184,84
185,85
186,86
187,87
188,88
189,89
190,90
191,91
192,92
193,93
194,94
195,95
196,96
197,97
198,98
199,99
200,100
201,101
202,102
203,103
204,104
205,105
206,106
207,107
208,108
209,108
210,108
211,108
212,108
213,108
214,108
215,108
216,108
217,108
218,108
219,108
220,108
221,108
222,108
223,109
224,110
225,111
226,112
227,113
228,114
229,115
230,116
231,117
232,118
233,119
234,120
235,121
236,122
237,123
238,124
239,125
240,126
241,127
242,128
243,129
244,130
245,131
246,132
247,133
248,134
249,135
250,136
251,137
252,138
253,139
254,140
255,141
256,142
257,143
258,144
259,145
260,146
261,147
262,148
263,149
264,150
265,151
266,152
267,153
268,154
269,155
270,156
271,157
272,158
273,159
274,160
275,161
276,162
277,163
278,164
279,165
