Requests, Fitness
1,0
2,1
3,1
4,2
5,2
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,4
15,4
16,5
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,7
37,7
38,7
39,8
40,8
41,9
42,9
43,9
44,9
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,11
54,11
55,11
56,11
57,11
58,11
59,12
60,12
61,13
62,13
63,13
64,13
65,13
66,13
67,13
68,13
69,13
70,14
71,14
72,14
73,14
74,14
75,14
76,14
77,15
78,15
79,15
80,15
81,16
82,16
83,16
84,16
85,16
86,16
87,16
88,16
89,17
90,17
91,18
92,18
93,18
94,19
95,19
96,19
97,20
98,20
99,20
100,20
101,20
102,21
103,22
104,22
105,23
106,23
107,23
108,23
109,23
110,23
111,24
112,24
113,25
114,25
115,25
116,25
117,25
118,25
119,25
120,25
121,25
122,26
123,26
124,26
125,26
126,27
127,28
128,28
129,29
130,29
131,29
132,29
133,29
134,29
135,29
136,29
137,29
138,29
139,30
140,30
141,30
142,30
143,30
144,30
145,31
146,31
147,31
148,32
149,32
150,32
151,32
152,32
153,32
154,33
155,34
156,34
157,34
158,34
159,34
160,34
161,34
162,34
163,34
164,35
165,35
166,35
167,35
168,35
169,35
170,36
171,36
172,36
173,36
174,36
175,36
176,36
177,37
178,37
179,37
180,37
181,37
182,38
183,38
184,39
185,39
186,39
187,39
188,39
189,39
190,39
191,39
192,39
193,39
194,39
195,39
196,39
197,39
198,39
199,39
200,39
201,40
202,40
203,41
204,42
205,42
206,42
207,42
208,43
209,43
210,43
211,43
212,43
213,43
214,43
215,43
216,44
217,44
218,44
219,44
220,45
221,45
222,45
223,45
224,45
225,46
226,46
227,46
228,46
229,47
230,47
231,47
232,47
233,47
234,47
235,48
236,48
237,48
238,49
239,49
240,50
241,51
242,51
243,51
244,51
245,51
246,51
247,51
248,51
249,52
250,52
251,52
252,52
253,52
254,52
255,52
256,52
257,53
258,53
259,53
260,54
261,54
262,55
263,55
264,55
265,55
266,55
267,55
268,56
269,56
270,56
271,56
272,56
273,57
274,57
275,58
276,59
277,59
278,59
279,59
280,60
281,60
282,60
283,60
284,61
285,61
286,61
287,61
288,61
289,61
290,61
291,61
292,62
293,62
294,62
295,63
296,63
297,63
298,63
299,64
300,64
301,64
302,64
303,64
304,64
305,64
306,65
307,66
308,66
309,66
310,66
311,66
312,66
313,67
314,67
315,68
316,68
317,68
318,68
319,68
320,68
321,68
322,68
323,68
324,68
325,68
326,68
327,69
328,69
329,69
330,69
331,69
332,69
333,70
334,70
335,70
336,70
337,71
338,72
339,72
340,72
341,72
342,72
343,72
344,73
345,73
346,73
347,73
348,73
349,73
350,73
351,73
352,73
353,74
354,74
355,75
356,76
357,76
358,76
359,76
360,76
361,77
362,77
363,77
364,77
365,77
366,77
367,77
368,77
369,77
370,77
371,77
372,78
373,79
374,79
375,79
376,79
377,79
378,79
379,79
380,79
381,79
382,79
383,79
384,79
385,79
386,79
387,79
388,79
389,79
390,79
391,79
392,79
393,79
394,79
395,79
396,80
397,80
398,80
399,81
400,81
401,81
402,81
403,81
404,81
405,81
406,82
407,82
408,82
409,82
410,82
411,83
412,84
413,84
414,84
415,84
416,85
417,86
418,86
