X: 1406,Y: 1116
X: 1499,Y: 1187
X: 1099,Y: 528
X: 831,Y: 1122
X: 1090,Y: 623
X: 94,Y: 16
X: 1149,Y: 506
X: 1176,Y: 593
X: 1114,Y: 1166
X: 627,Y: 204
X: 870,Y: 1180
X: 1173,Y: 1172
X: 1048,Y: 1118
X: 890,Y: 1148
X: 1253,Y: 398
X: 792,Y: 1063
X: 1020,Y: 598
X: 1429,Y: 976
X: 1135,Y: 1160
X: 1247,Y: 1142
X: 1299,Y: 417
X: 700,Y: 244
X: 1443,Y: 1160
X: 793,Y: 1107
X: 1227,Y: 1051
X: 1202,Y: 405
X: 1138,Y: 469
X: 81,Y: 44
X: 1008,Y: 1068
X: 1186,Y: 409
X: 737,Y: 1131
X: 926,Y: 1139
X: 1231,Y: 1059
X: 902,Y: 1111
X: 1129,Y: 984
X: 1154,Y: 624
X: 1595,Y: 1109
X: 1066,Y: 1044
X: 1129,Y: 490
X: 929,Y: 982
X: 1131,Y: 1112
X: 1091,Y: 576
X: 790,Y: 1083
X: 1526,Y: 994
X: 1257,Y: 1069
X: 1047,Y: 1056
X: 1369,Y: 1041
X: 1136,Y: 632
X: 1034,Y: 1040
X: 1200,Y: 954
X: 1466,Y: 971
X: 863,Y: 1121
X: 1141,Y: 642
X: 808,Y: 1090
X: 1113,Y: 1028
X: 1091,Y: 651
X: 798,Y: 1095
X: 698,Y: 1013
X: 1430,Y: 1087
X: 1087,Y: 502
X: 752,Y: 1195
X: 1215,Y: 649
X: 18,Y: 58
X: 1308,Y: 1189
X: 1355,Y: 1022
X: 1361,Y: 1049
X: 1208,Y: 427
X: 754,Y: 1028
X: 1153,Y: 564
X: 1573,Y: 1182
X: 83,Y: 32
X: 1388,Y: 979
X: 1204,Y: 1106
X: 1480,Y: 1003
X: 1241,Y: 987
X: 1138,Y: 415
X: 1179,Y: 1147
X: 1287,Y: 1187
X: 1216,Y: 955
X: 1139,Y: 380
X: 996,Y: 1030
X: 681,Y: 1154
X: 938,Y: 1106
X: 878,Y: 1199
X: 1070,Y: 618
X: 22,Y: 68
X: 864,Y: 1161
X: 653,Y: 227
X: 1462,Y: 974
X: 1292,Y: 1049
X: 1015,Y: 592
X: 1035,Y: 553
X: 1255,Y: 488
X: 845,Y: 1096
X: 1504,Y: 1184
X: 935,Y: 960
X: 1577,Y: 1043
X: 531,Y: 237
X: 1134,Y: 1112
X: 779,Y: 1198
X: 1094,Y: 965
X: 906,Y: 1028
X: 1410,Y: 986
X: 1217,Y: 1101
X: 1557,Y: 1094
X: 532,Y: 208
X: 1521,Y: 1174
X: 1307,Y: 1019
X: 1488,Y: 957
X: 1122,Y: 450
X: 1249,Y: 534
X: 55,Y: 44
X: 1122,Y: 508
X: 919,Y: 1135
X: 1294,Y: 503
X: 690,Y: 229
X: 1176,Y: 505
X: 952,Y: 1185
X: 705,Y: 213
X: 1083,Y: 950
X: 787,Y: 1199
X: 951,Y: 1098
X: 557,Y: 221
X: 95,Y: 75
X: 1100,Y: 1014
X: 1193,Y: 1152
X: 1329,Y: 985
X: 1172,Y: 1139
X: 1222,Y: 622
X: 1074,Y: 568
X: 31,Y: 81
X: 1311,Y: 1052
X: 1075,Y: 531
X: 931,Y: 1136
X: 1266,Y: 1089
X: 1507,Y: 1155
X: 1094,Y: 628
X: 1440,Y: 1088
X: 1523,Y: 1189
X: 1038,Y: 645
X: 1062,Y: 1057
X: 1181,Y: 953
X: 1272,Y: 559
X: 718,Y: 987
X: 1516,Y: 1183
X: 1225,Y: 507
X: 1139,Y: 607
X: 1034,Y: 582
X: 810,Y: 1081
X: 1270,Y: 472
X: 1209,Y: 502
X: 1218,Y: 973
X: 1222,Y: 397
X: 1214,Y: 955
X: 1551,Y: 1068
X: 1561,Y: 1025
X: 750,Y: 1042
X: 1404,Y: 1139
X: 1503,Y: 998
X: 1450,Y: 1187
X: 839,Y: 1196
X: 1573,Y: 1055
X: 1475,Y: 1179
X: 725,Y: 1052
X: 1415,Y: 1010
X: 1094,Y: 1078
X: 978,Y: 1184
X: 526,Y: 237
X: 1288,Y: 1079
X: 863,Y: 1093
X: 771,Y: 1038
X: 1129,Y: 369
X: 734,Y: 1108
X: 1570,Y: 1030
X: 1142,Y: 1191
X: 1202,Y: 1000
X: 1433,Y: 954
X: 1121,Y: 1095
X: 737,Y: 1074
X: 1248,Y: 584
X: 926,Y: 992
X: 1239,Y: 1020
X: 1549,Y: 1192
X: 1354,Y: 1190
Number of Correct 816
Number of Incorrect 184
