Requests, Fitness
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,4
25,4
26,4
27,5
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,7
43,7
44,8
45,8
46,8
47,9
48,9
49,9
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,10
61,10
62,11
63,12
64,12
65,12
66,12
67,12
68,13
69,14
70,14
71,14
72,14
73,14
74,14
75,14
76,14
77,15
78,15
79,15
80,15
81,15
82,15
83,15
84,15
85,15
86,15
87,15
88,16
89,16
90,16
91,16
92,16
93,16
94,16
95,16
96,16
97,16
98,16
99,17
100,17
101,17
102,18
103,18
104,18
105,18
106,18
107,18
108,19
109,19
110,19
111,19
112,19
113,19
114,19
115,19
116,19
117,19
118,19
119,19
120,20
121,20
122,20
123,20
124,20
125,20
126,20
127,20
128,21
129,21
130,21
131,21
132,21
133,21
134,22
135,23
136,23
137,23
138,23
139,23
140,23
141,24
142,24
143,25
144,26
145,26
146,26
147,26
148,26
149,26
150,27
151,27
152,27
153,27
154,27
155,27
156,27
157,27
158,27
159,28
160,28
161,28
162,28
163,28
164,28
165,28
166,28
167,28
168,28
169,28
170,28
171,28
172,28
173,28
174,28
175,29
176,29
177,30
178,30
179,30
180,30
181,30
182,31
183,31
184,31
185,31
186,32
187,32
188,32
189,32
190,32
191,32
192,32
193,32
194,32
195,32
196,32
197,32
198,32
199,32
200,32
201,32
202,32
203,33
204,33
205,33
206,33
207,33
208,33
209,33
210,33
211,33
212,33
213,33
214,33
215,33
216,33
217,33
218,33
219,33
220,33
221,34
222,34
223,34
224,34
225,34
226,34
227,34
228,35
229,35
230,35
231,35
232,35
233,35
234,35
235,36
236,36
237,37
238,37
239,37
240,37
241,37
242,37
243,37
244,37
245,37
246,37
247,37
248,38
249,38
250,38
251,38
252,38
253,38
254,38
255,38
256,38
257,38
258,38
259,39
260,39
261,39
262,40
263,40
264,40
265,41
266,42
267,42
268,42
269,42
270,43
271,43
272,43
273,44
274,44
275,44
276,44
277,44
278,45
279,45
280,45
281,45
282,46
283,46
284,47
285,47
286,47
287,48
288,48
289,48
290,48
291,48
292,49
293,49
294,49
295,50
296,51
297,52
298,52
299,52
300,53
301,53
302,53
303,53
304,53
305,54
306,55
307,55
308,55
309,55
310,55
311,55
312,55
313,55
314,55
315,55
316,55
317,55
318,55
319,55
320,55
321,55
322,56
323,56
324,56
325,56
326,56
327,56
328,56
329,56
330,56
331,56
332,57
333,57
334,57
335,57
336,57
337,58
338,58
339,58
340,58
341,58
342,58
343,59
344,59
345,59
346,59
347,59
348,59
349,59
350,59
351,60
352,60
353,60
354,60
355,60
356,60
357,60
358,60
359,60
360,60
361,61
362,61
363,61
364,61
365,61
366,61
367,62
368,62
369,62
370,63
371,63
372,63
373,63
374,63
375,63
376,63
377,63
378,63
379,63
380,63
381,63
382,63
383,63
384,63
385,63
386,63
387,63
388,63
389,63
390,63
391,63
392,63
393,63
394,63
395,63
396,63
397,64
398,64
399,64
400,64
401,64
402,64
403,64
404,64
405,64
406,65
407,65
408,65
409,65
410,65
411,65
412,65
413,65
414,65
415,65
416,65
417,65
418,65
419,65
420,65
421,65
422,66
423,66
424,66
425,67
426,67
427,67
428,67
429,68
430,68
431,68
432,68
433,68
434,68
435,68
436,68
437,68
438,69
439,69
440,69
441,69
442,69
443,70
444,70
445,70
446,70
447,70
448,70
449,71
450,71
451,71
452,71
453,71
454,71
455,71
456,71
457,71
458,71
459,71
460,71
461,71
462,71
463,71
464,71
465,71
466,71
467,71
468,71
469,71
470,71
471,71
472,71
473,72
474,73
475,74
476,74
477,74
478,74
479,74
480,74
481,74
482,74
483,74
484,74
485,74
486,75
487,75
488,75
489,75
490,75
491,75
492,75
493,75
494,75
495,75
496,75
497,75
498,75
499,75
500,75
501,75
502,75
503,75
504,75
505,75
506,75
507,75
508,75
509,75
510,76
511,76
512,76
513,76
514,76
515,76
516,76
517,76
518,76
519,77
520,78
521,78
522,78
523,78
524,78
525,78
526,79
527,79
528,79
529,79
530,79
531,79
532,79
533,80
534,81
535,81
536,81
537,81
538,81
539,81
540,81
541,81
542,81
543,82
544,82
545,82
546,82
547,82
548,82
549,82
550,83
551,83
552,83
553,83
554,83
555,83
556,83
557,84
558,84
559,84
560,84
561,84
562,84
563,85
564,85
565,85
566,86
567,86
568,86
569,86
570,86
571,86
572,86
573,86
574,86
575,87
576,87
577,87
578,87
579,87
580,87
581,88
582,88
583,88
584,88
585,88
586,88
587,88
588,88
589,88
590,88
591,88
592,88
593,88
594,88
595,88
596,88
597,88
598,88
599,88
600,88
601,89
